word,article,plural,translation,example sentence normal,example sentence plural
App,die,Apps,app,Die App funktioniert nicht richtig auf meinem Handy. (The app doesn’t work properly on my phone.),Viele Apps helfen beim Sprachenlernen. (Many apps help with language learning.)
April,der,–,April,Im April blühen viele Blumen. (Many flowers bloom in April.),Der April ist ein wechselhafter Monat. (April is a changeable month.)
Arabisch,–,–,Arabic, Ich spreche ein bisschen Arabisch. (I speak a little Arabic.)
Arbeit,die,Arbeiten,work,Die Arbeit macht mir heute keinen Spaß. (The work isn’t fun for me today.),Viele Arbeiten in der Firma sind sehr anspruchsvoll. (Many tasks in the company are very demanding.)
arbeiten (1/2),–,–,to work,Ich arbeite in einem großen Büro. (I work in a large office.),Die meisten Menschen arbeiten von Montag bis Freitag. (Most people work from Monday to Friday.)
Arbeitsalltag,der,–,workday routine,Der Arbeitsalltag beginnt meistens um acht Uhr. (The workday routine usually starts at eight o’clock.),
arbeitslos,–,–,unemployed, Er ist seit einem Jahr arbeitslos. (He has been unemployed for a year.)
Arbeitsplatz,der,Arbeitsplätze,workplace, Der Arbeitsplatz ist gut ausgestattet. (The workplace is well equipped.),Die Arbeitsplätze in diesem Büro sind modern. (The workplaces in this office are modern.)
Arbeitszeit,die,Arbeitszeiten,working hours,Die Arbeitszeit endet heute um 17 Uhr. (Working hours end at 5 PM today.),Unsere Arbeitszeiten sind flexibel. (Our working hours are flexible.)
Arbeitszimmer,das,Arbeitszimmer,home office,Das Arbeitszimmer ist hell und ruhig. (The home office is bright and quiet.),Viele Arbeitszimmer haben einen großen Schreibtisch. (Many home offices have a large desk.)
Architekt,der,Architekten,architect (male),Der Architekt plant ein neues Gebäude. (The architect is designing a new building.),Die Architekten arbeiten an einem nachhaltigen Projekt. (The architects are working on a sustainable project.)
Architektin,die,Architektinnen,architect (female),Die Architektin präsentiert ihre Entwürfe. (The female architect presents her designs.),Viele Architektinnen spezialisieren sich auf Innenräume. (Many female architects specialize in interiors.)
Architektur,die,–,architecture,Die Architektur des Gebäudes ist beeindruckend. (The architecture of the building is impressive.),Moderne Architektur ist oft sehr kreativ. (Modern architecture is often very creative.)
argentinisch,–,–,Argentinian, Das Restaurant bietet argentinisches Fleisch an. (The restaurant offers Argentinian meat.)
Arm,der,Arme,arm, Mein linker Arm tut weh. (My left arm hurts.), Die Arme der Statue sind sehr detailliert. (The arms of the statue are very detailed.)
Armband, das,Armbänder,bracelet,Das Armband ist aus Gold. (The bracelet is made of gold.),Die Armbänder sind sehr schön gestaltet. (The bracelets are very beautifully designed.)
Art,die,Arten,"kind, type",Die Art der Musik gefällt mir gut. (I like the type of music.),Es gibt viele Arten von Tieren in diesem Zoo. (There are many kinds of animals in this zoo.)
Artikel,der,Artikel,article,Der Artikel beschreibt die neue Technologie. (The article describes the new technology.),Ich habe mehrere interessante Artikel gelesen. (I have read several interesting articles.)
Artikelbild,das,Artikelbilder,article image,Das Artikelbild zeigt ein schönes Landschaftsfoto. (The article image shows a beautiful landscape photo.),Die Artikelbilder in diesem Magazin sind sehr hochwertig. (The article images in this magazine are very high quality.)
Arzt,der,Ärzte,doctor (male),Der Arzt untersucht den Patienten gründlich. (The doctor examines the patient thoroughly.),Die Ärzte im Krankenhaus sind sehr freundlich. (The doctors at the hospital are very friendly.)
Arztbesuch,der,Arztbesuche,doctor visit,Der Arztbesuch war notwendig. (The doctor visit was necessary.),Regelmäßige Arztbesuche sind wichtig für die Gesundheit. (Regular doctor visits are important for health.)
Ärztin,die,Ärztinnen,doctor (female),Die Ärztin erklärt die Behandlung genau. (The female doctor explains the treatment clearly.),Viele Ärztinnen arbeiten in Kliniken. (Many female doctors work in clinics.)
asiatisch,–,–,Asian,Das Restaurant bietet asiatische Küche an. (The restaurant offers Asian cuisine.),Asiatische Gerichte sind oft sehr würzig. (Asian dishes are often very spicy.)
Assoziation,die,Assoziationen,association,Die Assoziation zwischen Farben und Gefühlen ist spannend. (The association between colors and emotions is fascinating.),Es gibt viele verschiedene Assoziationen zu diesem Begriff. (There are many different associations with this term.)
Atelier,das,Ateliers,studio,Das Atelier liegt in einem alten Fabrikgebäude. (The studio is located in an old factory building.),In vielen Ateliers wird kreativ gearbeitet. (Creative work takes place in many studios.)
Atmosphäre,die,–,atmosphere,Die Atmosphäre in der Stadt ist lebendig. (The atmosphere in the city is lively.), Die Atmosphäre im Restaurant ist sehr angenehm. (The atmosphere in the restaurant is very pleasant.)
Attraktion,die,Attraktionen,attraction, Die Attraktion des Parks ist der große Spielplatz. (The attraction of the park is the large playground.),Viele Attraktionen sind für Kinder geeignet. (Many attractions are suitable for children.)
attraktiv,–,–,attractive,Die Stadt ist sehr attraktiv für Touristen. (The city is very attractive for tourists.),Attraktive Angebote ziehen viele Kunden an. (Attractive offers attract many customers.)
auch,–,–,also, "Ich mag Pizza, und du auch? (I like pizza, and you too?)"
auf (1/2/3),–,–,on / at / onto, Das Buch liegt auf dem Tisch. (The book is on the table.)
auf jeden Fall,–,–,definitely,Auf jeden Fall sollten wir das ausprobieren. (We should definitely try that.)
auf sein,–,–,to be up,Das Licht ist auf. (The light is on.),Die Heizung ist auf. (The heating is on.)
auf Wiederhören,–,–,goodbye (on the phone), Auf Wiederhören! Wir sprechen uns morgen. (Goodbye! We’ll talk tomorrow.), Danke für das Gespräch. Auf Wiederhören! (Thanks for the conversation. Goodbye!)
auf Wiedersehen,–,–,goodbye, Auf Wiedersehen! Ich wünsche Ihnen einen schönen Tag. (Goodbye! I wish you a nice day.),Auf Wiedersehen! Wir sehen uns nächste Woche. (Goodbye! We’ll see each other next week.)
Aufforderung,die,Aufforderungen,"request, command","Die Aufforderung war höflich, aber bestimmt. (The request was polite but firm.)",Viele Aufforderungen in offiziellen Briefen klingen formell. (Many commands in official letters sound formal.)
Aufgabe,die,Aufgaben,task,Die Aufgabe ist ziemlich schwierig. (The task is quite difficult.),Ich habe alle Aufgaben rechtzeitig erledigt. (I completed all the tasks on time.)
aufhängen,–,–,to hang up,Ich hänge das Bild an die Wand. (I hang the picture on the wall.),Die Bilder hängen in der Galerie. (The pictures are hanging in the gallery.)
aufhören,–,–,to stop, Ich höre jetzt mit der Arbeit auf. (I’m stopping work now.), Sie hat plötzlich aufgehört zu sprechen. (She suddenly stopped talking.)
aufmachen,–,–,to open, Ich mache die Tür auf. (I’m opening the door.), Kannst du bitte das Fenster aufmachen? (Can you please open the window?)
aufpassen,–,–,to pay attention, "Pass auf, der Boden ist rutschig! (Pay attention, the floor is slippery!)", Die Kinder müssen in der Schule gut aufpassen. (The children have to pay attention at school.)
aufschreiben,–,–,to write down, Ich schreibe deine Nummer auf. (I’m writing down your number.), Er hat alle Informationen sorgfältig aufgeschrieben. (He wrote down all the information carefully.)
aufstehen,–,–,to get up, Er steht jeden Morgen um sechs Uhr auf. (He gets up every morning at six o'clock.)
aufstellen,–,–,to set up, Wir müssen das Zelt im Garten aufstellen. (We have to set up the tent in the garden.)
Aufzug,der,Aufzüge,elevator,Der Aufzug ist im Moment außer Betrieb. (The elevator is currently out of service.),
Auge,das,Augen,eye, Ich habe mir etwas ins Auge bekommen. (I got something in my eye.),Die Augen sind das Fenster zur Seele. (The eyes are the window to the soul.)
August,der,–,August,Der August ist oft der heißeste Monat des Jahres. (August is often the hottest month of the year.),"Im August sind viele Menschen im Urlaub. (In August, many people are on vacation.)"
aus,–,–,from / out of,"Ich komme aus Deutschland. (I come from Germany.)",
Ausdruck,der,Ausdrücke,expression,"Der Ausdruck in seinem Gesicht verrät seine Freude. (The expression on his face reveals his joy.)","Die Ausdrücke in den Gemälden zeigen verschiedene Stimmungen. (The expressions in the paintings show different moods.)"
ausdrücken,–,–,to express,"Er kann seine Gefühle kaum ausdrücken. (He can hardly express his feelings.)",
Ausflug,der,Ausflüge,excursion,"Wir machen nächsten Sonntag einen Ausflug. (We are taking an excursion next Sunday.)","Unsere Ausflüge in die Berge sind immer erholsam. (Our excursions into the mountains are always relaxing.)"
ausfüllen,–,–,to fill out,"Bitte füllen Sie dieses Formular aus. (Please fill out this form.)",
Ausgang,der,Ausgänge,exit,"Der Ausgang befindet sich auf der linken Seite. (The exit is on the left side.)","An den Notausgängen hängen größere Schilder. (Larger signs hang above the emergency exits.)"
ausgehen,–,–,to go out,"Wir gehen heute Abend aus. (We are going out tonight.)",
Auskunft,die,Auskünfte,information,"Die Auskunft am Bahnhof war sehr hilfsbereit. (The information desk at the station was very helpful.)","Die Auskünfte, die wir bekommen haben, waren korrekt. (The pieces of information we received were correct.)"
Ausland,das,–,abroad,"Sie studiert im Ausland. (She is studying abroad.)",
ausmachen,–,–,to turn off,"Schaltest du bitte das Licht aus? (Could you please turn off the light?)",
Aussage,die,Aussagen,statement,"Seine Aussage vor Gericht war überzeugend. (His statement in court was convincing.)","Die Aussagen der Zeugen stimmten überein. (The statements of the witnesses agreed.)"
Aussagesatz,der,Aussagesätze,declarative sentence,"Ein Aussagesatz endet normalerweise mit einem Punkt. (A declarative sentence usually ends with a period.)","In Deutschunterricht schreiben wir viele Aussagesätze. (In German class we write many declarative sentences.)"
aussehen,–,–,to look like,"Du siehst heute müde aus. (You look tired today.)",
außerhalb,–,–,outside of,"Außerhalb der Stadt ist es ruhiger. (Outside of the city it's quieter.)",
Äußerung,die,Äußerungen,utterance,"Seine Äußerung hat alle überrascht. (His utterance surprised everyone.)","Die Äußerungen der Gäste waren sehr positiv. (The utterances of the guests were very positive.)"
Aussprache,die,–,pronunciation,"Die Aussprache dieses Wortes ist schwierig. (The pronunciation of this word is difficult.)",
aussteigen,–,–,to get off/out (vehicle),"Wir steigen an der nächsten Haltestelle aus. (We'll get off at the next stop.)",
Ausstellung,die,Ausstellungen,exhibition,"Die Ausstellung zeigt Werke moderner Künstler. (The exhibition features works of modern artists.)","Die Ausstellungen im Museum ziehen jedes Jahr Tausende Besucher an. (The exhibitions in the museum attract thousands of visitors each year.)"
Ausweis,der,Ausweise,ID card,"Zeigen Sie bitte Ihren Ausweis. (Please show your ID card.)","Die Ausweise müssen ständig mitgeführt werden. (The ID cards must be carried at all times.)"
auswendig,–,–,by heart,"Ich kenne das Gedicht auswendig. (I know the poem by heart.)",
ausziehen,–,–,to take off / move out,"Sie zieht heute in ihre neue Wohnung aus. (She is moving out into her new apartment today.)",
Auto,das,Autos,car,"Das Auto steht vor dem Haus. (The car is in front of the house.)","Die Autos auf der Straße blockieren die Einfahrt. (The cars on the street are blocking the driveway.)"
Autobahn,die,Autobahnen,highway,"Auf der Autobahn darf man schneller fahren. (You’re allowed to drive faster on the highway.)","Die Autobahnen sind heute sehr voll. (The highways are very busy today.)"
Automat,der,Automaten,vending machine,"Der Automat funktioniert nur mit Münzen. (The vending machine only works with coins.)","Die Automaten im Bahnhof verkaufen Kaffee. (The vending machines at the station sell coffee.)"
Baby,das,Babys,baby,"Das Baby schläft gerade. (The baby is sleeping right now.)","Die Babys in der Krippe sind alle friedlich. (The babies in the nursery are all peaceful.)"
Bäcker,der,Bäcker,baker (male),"Der Bäcker backt frisches Brot. (The baker bakes fresh bread.)","Die Bäcker stehen früh am Morgen auf. (The bakers get up early in the morning.)"
Bäckerei,die,Bäckereien,bakery,"Ich kaufe das Brot in dieser Bäckerei. (I buy the bread at this bakery.)","Die Bäckereien in der Stadt haben geschlossen. (The bakeries in town are closed.)"
Bad,das,Bäder,bathroom,"Das Bad ist im zweiten Stock. (The bathroom is on the second floor.)","Die Bäder in diesem Hotel sind sehr modern. (The bathrooms in this hotel are very modern.)"
Badeanzug,der,Badeanzüge,swimsuit,"Sie trägt einen neuen Badeanzug. (She’s wearing a new swimsuit.)","Die Badeanzüge liegen zum Trocknen auf dem Stuhl. (The swimsuits are laid out to dry on the chair.)"
Badehose,die,Badehosen,swim trunks,"Er sucht eine passende Badehose. (He’s looking for suitable swim trunks.)","Die Badehosen sind in verschiedenen Größen erhältlich. (The swim trunks are available in various sizes.)"
Bademode,die,Bademoden,swimwear,"Die neue Bademode sieht modern aus. (The new swimwear looks modern.)","Viele Bademoden sind gerade im Sale. (Many swimwear pieces are currently on sale.)"
baden,–,–,to bathe,"Wir baden heute im Meer. (We’re bathing in the sea today.)",
Badeurlaub,der,Badeurlaube,beach holiday,"Unser Badeurlaub beginnt nächsten Monat. (Our beach holiday starts next month.)","Die Badeurlaube in Griechenland sind sehr beliebt. (Beach holidays in Greece are very popular.)"
Bahnhof,der,Bahnhöfe,train station,"Der Bahnhof ist nicht weit von hier. (The train station is not far from here.)","Die Bahnhöfe sind morgens sehr belebt. (The train stations are very busy in the morning.)"
Bahnsteig,der,Bahnsteige,platform,"Der Zug wartet am Bahnsteig 5. (The train is waiting at platform 5.)","Die Bahnsteige im Hauptbahnhof sind sauber. (The platforms in the main station are clean.)"
bald,–,–,soon,"Wir sehen uns bald wieder. (We’ll see each other again soon.)",
Balkon,der,Balkone,balcony,"Der Balkon bietet einen schönen Ausblick. (The balcony offers a beautiful view.)","An den Balkonen hängen bunte Blumen. (Colorful flowers hang on the balconies.)"
Ball,der,Bälle,ball,"Der Ball ist über den Zaun geflogen. (The ball flew over the fence.)","Die Bälle liegen im Garten. (The balls are lying in the garden.)"
Banane,die,Bananen,banana,"Ich esse jeden Morgen eine Banane. (I eat a banana every morning.)","Die Bananen im Supermarkt sind reif. (The bananas in the supermarket are ripe.)"
Bank (1 - bench),die,Bänke,bench,"Wir sitzen auf der Parkbank. (We are sitting on the park bench.)","Die Bänke im Park sind alt. (The benches in the park are old.)"
Bank (2 - institution),die,Banken,bank,"Ich habe mein Konto bei dieser Bank. (I have my account at this bank.)","Die Banken in der Stadt haben unterschiedliche Öffnungszeiten. (The banks in town have different opening hours.)"
Bar,die,Bars,bar,"Wir treffen uns heute Abend in der Bar. (We’re meeting tonight at the bar.)","Die Bars in dieser Straße sind gut besucht. (The bars on this street are well attended.)"
bar,–,–,cash,"Zahlen Sie bar oder mit Karte? (Will you pay in cash or by card?)",
Basketball,–,–,basketball,"Er spielt gerne Basketball. (He likes to play basketball.)",
Bauch,der,Bäuche,belly,"Sein Bauch knurrt vor Hunger. (His belly is growling from hunger.)","Die Bäuche der Kinder waren ganz rund. (The children’s bellies were very round.)"
Bauchschmerzen,die,– (Pl.),stomachache,"Ich habe Bauchschmerzen. (I have a stomachache.)",
Baum,der,Bäume,tree,"Der Baum im Garten spendet angenehmen Schatten. (The tree in the garden provides pleasant shade.)","Die Bäume verlieren im Herbst ihre Blätter. (The trees lose their leaves in autumn.)"
Baustelle,die,Baustellen,construction site,"Die Autos stauen sich vor der Baustelle. (Cars are backed up in front of the construction site.)","An den Baustellen wird rund um die Uhr gearbeitet. (Construction sites are worked on around the clock.)"
Bauzeit,die,–,construction time,"Die Bauzeit für das neue Gebäude beträgt zwei Jahre. (The construction time for the new building is two years.)",
beantworten,–,–,to answer,"Kannst du diese Frage beantworten? (Can you answer this question?)",
Becher,der,Becher,cup,"Der Becher ist aus Keramik. (The cup is made of ceramic.)","Auf dem Tisch stehen mehrere Becher. (There are several cups on the table.)"
bedeuten,–,–,to mean,"Was bedeutet dieses Wort? (What does this word mean?)",
Befinden,das,–,well-being,"Er schwankt in seinem Befinden. (His state of well-being fluctuates.)",
befolgen,–,–,to follow,"Bitte befolgen Sie die Anweisungen. (Please follow the instructions.)",
Begeisterung,die,–,enthusiasm,"Ihre Begeisterung fürs Tanzen ist ansteckend. (Her enthusiasm for dancing is contagious.)",
Beginn,der,–,beginning,"Der Beginn des Films ist um 20 Uhr. (The beginning of the movie is at 8 p.m.)",
beginnen,–,–,to begin,"Wir beginnen pünktlich. (We begin on time.)",
bei,–,–,at / with,"Bei diesem Mistwetter bleibe ich zu Hause. (In this lousy weather, I’m staying home.)",
beide,–,–,both,"Beide Kinder spielen im Garten. (Both children are playing in the garden.)",
Bein,das,Beine,leg,"Das Bein ist ein Körperteil. (The leg is a body part.)","Die Beine taten nach dem Marathon weh. (The legs hurt after the marathon.)"
Beisl,das,Beisln,(Austrian) pub,"Im Beisl gibt es gutes Bier. (In the pub there’s good beer.)","Die Beisln in Wien sind gemütlich. (The pubs in Vienna are cozy.)"
Beispiel,das,Beispiele,example,"Nimm dieses Beispiel. (Take this example.)","Wir brauchen mehr Beispiele. (We need more examples.)"
Beiz,die,Beizen,(Swiss) bar,"Die Beiz in der Altstadt ist beliebt. (The bar in the old town is popular.)","Authentische Beizen sind rar. (Authentic bars are rare.)"
bekannt,–,–,known,"Dieser Schauspieler ist international bekannt. (This actor is internationally known.)",
Bekannte (m/f),der/die,Bekannten,acquaintance,"Ich treffe mich mit einem Bekannten. (I’m meeting an acquaintance.)","Ich habe viele Bekannten auf der Konferenz kennengelernt. (I met many acquaintances at the conference.)"
bekommen,–,–,to receive,"Ich habe ein Geschenk bekommen. (I received a gift.)",
beliebt,–,–,popular,"Diese Serie ist sehr beliebt. (This series is very popular.)",
benutzen,–,–,to use,"Kann ich dein Handy benutzen? (Can I use your phone?)",
bequem,–,–,comfortable,"Dieser Sessel ist sehr bequem. (This armchair is very comfortable.)",
Berg,der,Berge,mountain,"Der Berg ist mit Schnee bedeckt. (The mountain is covered with snow.)","Die Berge in den Alpen sind beeindruckend. (The mountains in the Alps are impressive.)"
Bergtour,die,Bergtouren,mountain tour,"Die Bergtour war anstrengend, aber schön. (The mountain tour was exhausting but beautiful.)","Viele Touristen buchen im Sommer Bergtouren. (Many tourists book mountain tours in summer.)"
Bericht,der,Berichte,report,"Der Bericht über die Reise war spannend. (The report about the trip was exciting.)","Ich habe alle Berichte gelesen. (I have read all the reports.)"
berichten,–,–,to report,"Er wird morgen live berichten. (He will report live tomorrow.)",
Beruf,der,Berufe,profession,"Welchen Beruf möchtest du ergreifen? (Which profession would you like to pursue?)","Es gibt viele Berufe, die du erlernen kannst. (There are many professions you can learn.)"
berühmt,–,–,famous,"Sie ist weltweit berühmt. (She is famous worldwide.)",
beschreiben,–,–,to describe,"Kannst du mir das Erlebnis beschreiben? (Can you describe the experience to me?)",
besetzt,–,–,occupied,"Die Toilette ist besetzt. (The restroom is occupied.)",
besichtigen,–,–,to visit,"Wir werden morgen das Schloss besichtigen. (We will visit the castle tomorrow.)",
besondere(r/s),–,–,special,"Das ist ein besonderer Anlass. (That is a special occasion.)",
besonders,–,–,especially,"Ich mag Schokolade, besonders Zartbitterschokolade. (I like chocolate, especially dark chocolate.)",
Besprechung,die,Besprechungen,meeting,"Die Besprechung beginnt um neun Uhr. (The meeting begins at nine o’clock.)","In den Besprechungen werden alle Themen besprochen. (All topics are discussed in the meetings.)"
besser,–,–,better,"Mir geht es heute besser. (I feel better today.)",
bestellen,–,–,to order,"Ich möchte eine Pizza bestellen. (I would like to order a pizza.)",
Bestellung,die,Bestellungen,order,"Die Bestellung ist noch nicht angekommen. (The order hasn’t arrived yet.)","Wir bearbeiten heute alle Bestellungen. (We’re processing all the orders today.)"
bestimmt (1/2),–,–,certain / definite,"Das ist bestimmt kein Zufall. (That is certainly not a coincidence.)",
Besuch,der,Besuche,visit,"Der Besuch war sehr angenehm. (The visit was very pleasant.)","Unsere Besuche bei den Großeltern sind selten. (Our visits to the grandparents are rare.)"
besuchen,–,–,to visit,"Ich werde dich morgen besuchen. (I will visit you tomorrow.)",
Besucher,der,Besucher,visitor (male),"Der Besucher hat Fragen zum Gebäude gestellt. (The visitor asked questions about the building.)","Die Besucher sind schon angekommen. (The visitors have already arrived.)"
Besucherin,die,Besucherinnen,visitor (female),"Die Besucherin möchte sich die Ausstellung ansehen. (The female visitor wants to see the exhibition.)","Viele Besucherinnen kommen aus dem Ausland. (Many female visitors come from abroad.)"
betont,–,–,stressed (syllable),"In diesem Wort wird die erste Silbe betont. (The first syllable is stressed in this word.)",
Betonung,die,Betonungen,emphasis,"Die Betonung liegt auf dem zweiten Wort. (The emphasis is on the second word.)","In dieser Sprache ist die Betonung sehr wichtig. (In this language, emphasis is very important.)"
Betreff,der,Betreffe,subject (of an email),"Im Betreff steht das Thema der E-Mail. (The subject of the email states the topic.)","Alle Betreffe der E-Mails sind gut formuliert. (All email subjects are well formulated.)"
betreuen,–,–,to take care of / supervise,"Sie betreut die Kinder während des Ausflugs. (She supervises the children during the excursion.)",
Bett,das,Betten,bed,"Er schläft in einem großen Bett. (He sleeps in a large bed.)","Die Betten im Hotel sind sehr bequem. (The beds in the hotel are very comfortable.)"
bewegen,–,–,to move,"Beweg deinen Arm! (Move your arm!)",
Bewegung,die,Bewegungen,movement,"Bewegung ist wichtig für die Gesundheit. (Movement is important for health.)","Tägliche Bewegungen fördern das Wohlbefinden. (Daily movements improve well-being.)"
Bewerbung,die,Bewerbungen,application,"Die Bewerbung für das Praktikum ist abgeschickt. (The application for the internship has been sent.)","Ich habe drei Bewerbungen geschrieben. (I wrote three applications.)"
Bewohner,der,Bewohner,inhabitant (masculine),"Der Bewohner des Hauses ist sehr freundlich. (The male inhabitant of the house is very friendly.)","Die Bewohner dieser Straße kennen sich gut. (The inhabitants of this street know each other well.)"
Bewohnerin,die,Bewohnerinnen,inhabitant (feminine),"Die Bewohnerin hilft oft ihren Nachbarn. (The female inhabitant often helps her neighbors.)","Viele Bewohnerinnen treffen sich im Garten. (Many female inhabitants meet in the garden.)"
bewölkt,–,–,cloudy,"Der Himmel ist heute bewölkt. (The sky is cloudy today.)",
bezahlen,–,–,to pay,"Kannst du die Rechnung bezahlen? (Can you pay the bill?)",
Bibliothek,die,Bibliotheken,library,"Ich gehe in die Bibliothek, um Bücher auszuleihen. (I go to the library to borrow books.)","Die Bibliotheken haben unterschiedliche Öffnungszeiten. (The libraries have different opening hours.)"
Biergarten,der,Biergärten,beer garden,"Im Biergarten schmeckt das Bier besonders gut. (Beer tastes especially good in the beer garden.)","Die Biergärten sind im Sommer sehr beliebt. (Beer gardens are very popular in summer.)"
Bikini,der,-s,bikini,"Sie trägt einen neuen Bikini. (She is wearing a new bikini.)","Die Bikinis liegen am Strand. (The bikinis are lying on the beach.)"
Bild,das,-er,picture,"Das Bild hängt an der Wand. (The picture hangs on the wall.)","In der Ausstellung sieht man viele Bilder. (You can see many pictures in the exhibition.)"
bilden,–,–,to form,"Wir bilden Gruppen für das Projekt. (We form groups for the project.)",
Bildgeschichte,die,-n,comic story,"Die Bildgeschichte erzählt eine lustige Geschichte. (The comic story tells a funny story.)","In unseren Bildgeschichten sieht man verschiedene Charaktere. (In our comic stories you see various characters.)"
billig,–,–,cheap,"Das ist sehr billig. (That is very cheap.)",
Birne,die,-n,pear,"Ich esse eine Birne. (I am eating a pear.)","Die Birnen sind reif. (The pears are ripe.)"
bis,–,–,until,"Wir warten bis morgen. (We wait until tomorrow.)",
bis bald,–,–,see you soon,"Bis bald! (See you soon!)",
bis dann,–,–,until then,"Bis dann! (Until then!)",
bis später,–,–,see you later,"Bis später! (See you later!)",
bis zu,–,–,up to,"Die Tickets kosten bis zu 50 Euro. (The tickets cost up to 50 euros.)",
bitte,–,–,please,"Bitte hilf mir. (Please help me.)",
Bitte,die,-n,request,"Er hat eine Bitte an dich. (He has a request for you.)","Ihre Bitten wurden erfüllt. (Their requests were fulfilled.)"
blau,–,–,blue,"Der Himmel ist blau. (The sky is blue.)",
bleiben,–,–,to stay,"Wir bleiben heute zu Hause. (We will stay at home today.)",
Bleistift,der,-e,pencil,"Der Bleistift liegt auf dem Tisch. (The pencil is on the table.)","Die Bleistifte sind gut gespitzt. (The pencils are well sharpened.)"
Blick,der,-e,glance,"Ein Blick genügt, um alles zu verstehen. (One glance is enough to understand everything.)","Seine Blicke waren besorgt. (His glances were anxious.)"
Blog,der,-s,blog,"Ich lese einen Blog über Reisen. (I am reading a blog about travel.)","Die Blogs dieser Autoren sind sehr beliebt. (The blogs of these authors are very popular.)"
Blume,die,-n,flower,"Eine Blume blüht im Garten. (A flower blooms in the garden.)","Die Blumen im Garten duften wunderbar. (The flowers in the garden smell wonderful.)"
Bluse,die,-n,blouse,"Die Bluse passt perfekt zur Hose. (The blouse matches the pants perfectly.)","Die Blusen im Geschäft sind bunt. (The blouses in the store are colorful.)"
Blut,das,–,blood,"Das Blut fließt schnell. (The blood flows quickly.)",
böse,–,–,"evil, bad","Das war eine böse Tat. (That was an evil deed.)",
Brasilien,–,–,Brazil,"Brasilien ist bekannt für den Karneval. (Brazil is known for the carnival.)",
brauchen,–,–,to need,"Ich brauche mehr Zeit. (I need more time.)",
braun,–,–,brown,"Der Hund hat braunes Fell. (The dog has brown fur.)",
breit,–,–,wide,"Die Straße ist sehr breit. (The street is very wide.)",
Brief,der,-e,letter,"Der Brief ist zu meinem Geburtstag. (The letter is for my birthday.)","Die Briefe liegen auf dem Tisch. (The letters are on the table.)"
Briefstandard,der,-s,letterhead,"Der Briefstandard enthält das Firmenlogo. (The letterhead includes the company logo.)","Die Briefstandards anderer Firmen unterscheiden sich. (The letterheads of other companies differ.)"
bringen,–,–,to bring,"Kannst du mir das Buch bringen? (Can you bring me the book?)",
Brot,das,-e,bread,"Das Brot schmeckt frisch. (The bread tastes fresh.)","Die Brote in der Bäckerei sind sehr beliebt. (The breads in the bakery are very popular.)"
Brötchen,das,–,roll,"Ich kaufe ein Brötchen. (I buy a roll.)","Die Brötchen sind noch warm. (The rolls are still warm.)"
Brücke,die,-n,bridge,"Die Brücke führt über den Fluss. (The bridge leads over the river.)","Die Brücken in der Stadt sind alt. (The bridges in the city are old.)"
Bruder,der,–,brother,"Mein Bruder wohnt in Berlin. (My brother lives in Berlin.)",
Buch,das,-er,book,"Das Buch liegt auf dem Tisch. (The book is on the table.)","Die Bücher liegen im Regal. (The books are on the shelf.)"
Buchladen,der,–,bookstore,"Der Buchladen in der Nähe hat viele Bücher. (The bookstore nearby has many books.)",
Buchstabe,der,-n,letter (of the alphabet),"Der Buchstabe A ist der erste im Alphabet. (The letter A is the first in the alphabet.)","In einigen Sprachen gibt es viele Buchstaben. (In some languages there are many letters.)"
